Location,white,black,hispanic,asian
Mississippi,0.58,0.37,0.03,0.011
Utah,0.79,0.01,0.14,0.02
Georgia,0.52,0.32,0.1,0.04
Washington,0.66,0.03,0.14,0.1
Nebraska,0.78,0.04,0.13,0.03
New Mexico,0.37,0.02,0.46,0.017
Arizona,0.54,0.04,0.34,0.03
Wisconsin,0.8,0.06,0.08,0.03
California,0.38,0.05,0.39,0.15
Virginia,0.61,0.18,0.11,0.07
Kansas,0.74,0.06,0.14,0.02
North Dakota,0.85,0.03,0.04,0.016
Oregon,0.75,0.02,0.14,0.04
Maryland,0.53,0.29,0.11,0.05
Minnesota,0.8,0.06,0.06,0.04
Colorado,0.7,0.04,0.19,0.04
Texas,0.43,0.12,0.38,0.05
New York,0.57,0.14,0.18,0.09
New Jersey,0.58,0.13,0.18,0.11
Michigan,0.75,0.14,0.05,0.03
